Company Name,Ticker,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,# of Analysts in Q0 Consensus,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Month of Fiscal Yr End,Sector,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Last Reported Qtr ,Last Qtr EPS,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Debt/Total Capital,Market Cap 
"ASHMORE GROUP","AJMPF","","","","","","",".21",".29",".31","","18.86","17.65","2.42","0","","0","0","0","OTC","6","Finance","Financial - Investment Management","","","","","","","","","","","3869.32"
"Aerojet Rocketdyne Holdings, Inc.","AJRD",".17",".25","2","2",".26","2",".83","1","1.17","38.48","27.95","24.01","5.08","0","0","0","-2.23","-3.37","NYSE","12","Aerospace","Aerospace - Defense Equipment","-36","0","16.33","20180514","20171201",".16","7.14","-3.29","-1.27","85.24099","2109.56"
"Akamai Technologies, Inc.","AKAM",".7",".51","13","10",".56","10","2.56","2.22","2.65","37.08","31.18","26.18","2.44","0",".09","0","8.17","1.78","NSDQ","12","Computer and Technology","Internet - Services","9.52","5.08","5.23","20180501","20171201",".69","1.19","1.59","2.39","16.683","11790.02"
"Akbank Turk Anonim Sirketi","AKBTY","","","","","","","","","","","","","","3.17","","","","","OTC","12","Finance","Banks - Foreign","","","","20180424","20170301",".2","","","","45.29","9500"
"Akcea Therapeutics, Inc.","AKCA","-.35","-.56","1","1","-.4","2","-2.22","-1.32","1.19","","","18.22","","0","-1.99","","17.88","14.47","NSDQ","12","Medical","Medical - Biomedical and Genetics","-13.04","14.29","","20180528","20171201","-.26","0","-7.69","-3.95","0","1442.49"
"Embotelladora Andina S.A.","AKO.A","","","","","","","","","","22.41","","","","2.59",".06","","","","NYSE","12","Consumer Staples","Beverages - Soft drinks","","","","20180425","20171201",".44","","","","44.98799","4101.81"
"Embotelladora Andina S.A.","AKO.B",".18","","1","","","","","1.27","1.51","25.8","23.57","19.82","","2.47",".06","","","","NYSE","12","Consumer Staples","Beverages - Soft drinks","16.67","0","7.12","20180425","20171201",".44","","","","44.98799","2360.88"
"Acadia Realty Trust","AKR",".34",".34","3","2",".35","2","1.47","1.38","1.47","16.13","17.64","16.54","2.54","4.44",".24","-21.27","-1.17","-1.78","NYSE","12","Finance","REIT and Equity Trust - Retail","12.12","2.78","6.45","20180501","20171201",".37","-.48","-1.47","-4.05","29.09499","2038.95"
"Akorn, Inc.","AKRX",".14",".13","1","1",".14","1","1.03",".94","1.04","11.42","19.49","17.68",".85","0","-.03","0","-30.67","-18.68","NSDQ","12","Medical","Medical - Generic Drugs","","","","","20170601",".15","0","","","49.513","2303.49"
"AK Steel Holding Corporation","AKS",".07",".25","7","4",".24","4",".26",".6",".76","12.85","7.25","5.72","1.45","0","0","0","-1.9","12.47","NYSE","12","Basic Materials","Steel - Producers","57.14","-33.33","24.16","20180430","20171201","-.06","24.32","0","11.77","94.23","1377.79"
"Akzo Nobel NV","AKZOY",".31","","1","","","","1.7","1.5","1.65","19.35","21.15","19.23","1.91","1.81",".09","0","32","1.01","OTC","12","Basic Materials","Chemical - Diversified ","16.13","-12.5","","20180418","20171201",".36","0","","","26.722","24002.06"
"Air Lease Corporation","AL","1.1","1.04","3","3","1.18","3","3.44","4.34","5.28","11.34","9.56","7.86","",".96",".52","","0","-2.85","NYSE","12","Transportation","Transportation - Equipment and Leasing","21.84","4.65","6.68","20180503","20171201","1.06","0","0","0","70.148","4302.39"
"Albemarle Corporation","ALB","1.2","1.2","8","8","1.23","8","4.47","5.15","5.82","19.96","17.82","15.78","1.1","1.46",".02","0","0",".29","NYSE","12","Basic Materials","Chemical - Diversified ","10.74",".93","6","20180502","20171201","1.34",".47",".14","-.33","27.047","10156.57"
"Allete, Inc.","ALE",".99",".74","3","2",".76","2","3.16","3.34","3.55","21.41","21.45","20.23","3.25","3.12",".12","8.2","3.5","-.5","NYSE","12","Utilities","Utility - Electric Power","-17.33","9.47","5.14","20180502","20171201",".62",".68","2.07","2.7","41.033","3668.05"
"Alexander & Baldwin Holdings, Inc.","ALEX","","","","","","","","","","","","","",".61",".54","","","","NYSE","12","Finance","REIT and Equity Trust - Other","","","","20180503","20171201",".19","","","","49.539","1656.72"
"Alamo Group, Inc.","ALG","1.35","1.38","1","1","1.69","1","4.49","5.75","6.15","24.87","19.89","18.6","",".38",".05","","8.18","7.18","NYSE","12","Industrial Products","Manufacturing - Farm Equipment","12.24","12.9","12.17","20180502","20171201","1.1","5.88","4.94","7.3","11.786","1332.41"
"Align Technology, Inc.","ALGN",".98","1.03","9","9","1.18","9","3.65","4.52","5.61","62.88","54.23","43.74","1.85","0",".16","0","0","0","NSDQ","12","Medical","Medical - Dental Supplies","23.96","23.17","22.61","20180425","20171201","1.19","0","0","0","0","19651.51"
"Allegiant Travel Company","ALGT","2.99","3.23","8","6","1.78","6","8.67","10.94","14.49","18.08","15.77","11.9",".54","1.62",".13",".55",".04",".03","NSDQ","12","Transportation","Transportation - Airline","52.25","1.46","12.48","20180424","20171201","2.71","-.83",".78","-.47","63.42399","2771.56"
"Actelion Ltd.","ALIOF","","","","","","","","","","","","","","0","","","","","OTC","12","Medical","Medical - Biomedical and Genetics","","","","20180404","20161201","","","","","","29891.13"
"Alaska Air Group, Inc.","ALK","-.14","1.93","9","7","2.45","7","6.61","5.68","7.29","9.17","10.69","8.34",".94","2.11",".13","236.28","-1.3","-.99","NYSE","12","Transportation","Transportation - Airline","0","-.44",".23","20180423","20171201",".83","12.24","-1.6","-.06","37.80699","7474.53"
"Alkermes plc","ALKS","-.08","","3","","","",".08","-.57","-.7","","","","","0","-.17","0","0","28.75","NSDQ","12","Medical","Medical - Biomedical and Genetics","47.62","200","68.15","20180426","20171201",".31","","","","18.797","6496.1"
"The Allstate Corporation","ALL","2.39","1.5","8","7","1.95","7","6.11","8.4","8.78","14.29","11.42","10.92","1.37","1.92",".08","0",".7",".87","NYSE","12","Finance","Insurance - Property and Casualty","39.33","81.82","58.04","20180501","20171201","2.09","4.31","2.25","-3.67","21.972","33992.52"
"Allegion PLC","ALLE",".84","1.22","4","3","1.22","3","3.79","4.49","4.94","21.35","18.85","17.16","1.53",".99",".11","0","0","0","NYSE","12","Industrial Products","Security and Safety Services","18.09","0","8.72","20180426","20171201","1.11","0","0","0","78.055","8066.93"
"Ally Financial Inc.","ALLY",".66",".72","8","7",".81","7","2.3","2.96","3.43","11.05","8.98","7.76",".71","1.95",".09","0","-1.4","-2.27","NYSE","12","Finance","Financial - Consumer Loans","18.64","14.04","10.02","20180426","20171201",".7","-4.21","-5.63","-2.92","76.622","11573.6"
"ANA Holdings Inc.","ALNPY","","","","","","","","","","13.71","","","","0","","","","","OTC","3","Transportation","Transportation - Airline","","","","20180427","20170601",".08","","","","40.62599","13016.76"
"Alnylam Pharmaceuticals, Inc.","ALNY","-1.18","-1.78","3","5","-1.82","5","-5.29","-7.02","-5.67","","","","","0","-5.46","0","0","0","NSDQ","12","Medical","Medical - Biomedical and Genetics","-7.25","13.82","3.36","20180504","20171201","-1.48","0","0","0","1.66999","9524.26"
"Analogic Corporation","ALOG",".68","1.04","1","1","1.16","1","2.58","4.23","4.41","42.38","22.54","21.62","3.22",".42","-.15","0","0","0","NSDQ","7","Computer and Technology","Computer - Peripheral Equipment","86.76","97.37","","20180605","20180101","1.27","0","0","0","0","1191.97"
"Astellas Pharma Inc.","ALPMY","","","","","","","","","","17.83","","","",".77","","","","","OTC","3","Medical","Medical - Drugs","","","","20180426","20171201",".27","","","","2.52239","30990.97"
"Alarm.com Holdings, Inc.","ALRM",".27",".23","9","7",".25","7",".91",".98","1.18","41.42","39.13","32.64","2.51","0",".09","0","2.31",".64","NSDQ","12","Industrial Products","Security and Safety Services","8.33","42.11","55.94","20180508","20171201",".26","-1.1","-.38","1.05","23.36899","1818.38"
"Alstom ADR","ALSMY","","","","","","","","","","","","","",".43","","","","","OTC","3","Transportation","Transportation - Rail","","","","20180503","","","","","","28.802","9997.16"
"Allison Transmission Holdings, Inc.","ALSN",".78",".91","7","7",".92","7","2.49","3.44","3.65","14.11","11.1","10.48","1.11","1.57",".22","0","0","0","NYSE","12","Auto-Tires-Trucks","Automotive - Original Equipment","37.29","56.25","44.04","20180425","20171201",".81","0","0","0","78.622","5356.16"
"Altair Engineering Inc.","ALTR",".03",".05","3","3",".07","3",".22",".26",".46","","117.39","65.98","","0","-.3","","-12.74","-25.96","NSDQ","12","Construction","Engineering - R and D Services","200","-275","","20180620","20171201",".18","-55.56","-33.33","-22.22",".27979","1905.18"
"Autoliv, Inc.","ALV","1.81","1.87","6","6","1.75","6","6.25","7.41","8.77","22.25","19.79","16.72","2.05","1.64",".04","5.41","-.43",".6","NYSE","12","Auto-Tires-Trucks","Automotive - Original Equipment","16.67","10.53","8.26","20180427","20171201","2.03","0","0","0","24.06999","12752.85"
"Alexander's, Inc.","ALX","","","","","","","","","","17.3","","","","4.63",".35","","","","NYSE","12","Finance","REIT and Equity Trust - Other","","","","20180507","20171201","5.49","","","","78.288","1984.84"
"Alexion Pharmaceuticals, Inc.","ALXN","1.48","1.44","12","1","1.59","1","5.67","6.12","7.78","21.55","17.86","14.04","1.01","0",".12","0","0","0","NSDQ","12","Medical","Medical - Biomedical and Genetics","15.63","8.27","15.2","20180426","20171201","1.48","0","0","0","25.62199","24290.39"
"Antero Midstream Partners LP","AM",".39",".44","7","7",".47","7","1.43","1.72","2.1","17.52","14.36","11.75","","5.91",".4","","-.34","-1.31","NYSE","12","Oils-Energy","Oil and Gas - Production and Pipelines","0","-19.51","-6.1","20180514","20171201",".34","-.74","0","0","44.09299","4619.16"
"Amadeus IT Group SA","AMADY","","","","","","","","","","25.66","","","","1.2",".2","","","","OTC","12","Computer and Technology","Computers - IT Services","","","","20180504","20171201",".72","","","","39.852","32314.93"
"Applied Materials, Inc.","AMAT",".97","1.13","9","8","1.14","7","3.22","4.41","4.57","14.38","11.88","11.47",".9",".76",".24","10.5",".28",".29","NSDQ","10","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","9.28","2.2","4.76","20180517","20180101","1.06",".57",".08","0","38.41099","54992.96"
"Ambarella, Inc.","AMBA",".37","-.2","8","2","-.02","2","1.98",".22",".67","80.82","197.56","66.84","13.39","0",".06","0","0","0","NSDQ","1","Computer and Technology","Electronics - Semiconductors","21.62","13.64","12.57","20180605","20180101",".45","37.5","0","0","0","1480.5"
"AMC Entertainment Holdings, Inc.","AMC",".08","-.03","4","3","-.25","3","-1.33",".17",".59","","95.36","27.76","9.54","4.86","-.1","0","-3.27","30.19","NYSE","12","Consumer Discretionary","Leisure and Recreation Services","11.11","10.81","120.73","20180514","20171201",".3","125","-200","-7.14","69.428","2102.03"
"Amcor Ltd.","AMCRY","","","","","","","","","","","","","","4.04",".07","","","","OTC","6","Industrial Products","Containers - Paper and Packaging","","","","","","","","","","","12421.05"
"AMC Networks Inc.","AMCX","2.18","2.07","6","5","1.95","5","7.08","8.13","8.96","7.04","6.35","5.77",".86","0",".17","0","1.48",".96","NSDQ","12","Consumer Discretionary","Broadcast Radio and Television","12.75","46.09","24.29","20180503","20171201","1.68","0","0","0","95.327","3137.56"
"Advanced Micro Devices, Inc.","AMD",".08",".07","10","7",".11","7",".13",".3",".47","160.17","32.19","20.45","4.15","0",".01","0","0","0","NSDQ","12","Computer and Technology","Electronics - Semiconductors","60","25","38.75","20180507","20171201",".08","0","0","5.71","68.44","9313.36"
"Amada Co.","AMDLY","","","","","","","","","","22.78","","","",".97","","","","","OTC","3","Industrial Products","Manufacturing - Tools & Related Products","","","","20180511","20170901",".96","","","","1.02439","5727.51"
"AMETEK, Inc.","AME",".72",".77","9","7",".75","7","2.58","3.05","3.33","28.18","24.11","22.09","2.1",".76",".16","0","0",".23","NYSE","12","Computer and Technology","Electronics - Testing Equipment","4.48","6.45","5.26","20180501","20171201",".7",".15","0","0","31.663","17012.38"
"Amedisys, Inc.","AMED",".66",".75","7","6",".77","6","2.23","3","3.32","29.16","21.5","19.41","1.23","0",".02","-10.2","0","0","NSDQ","12","Medical","Medical - Outpatient and Home Healthcare","-5.08","3.7","9.31","20180501","20171201",".56","0","0","0","13.151","2190.33"
"Affiliated Managers Group, Inc.","AMG","3.88","3.96","5","4","3.99","4","14.52","17.55","19.1","12.06","10.05","9.24",".63",".68",".3","0","-1.29","0","NYSE","12","Finance","Financial - Investment Management","2.86","1.49","2.1","20180507","20171201","4.68","0","0","0","28.86199","9615.27"
"Amgen Inc.","AMGN","3.21","3.49","10","8","3.39","8","12.69","13.25","13.83","13.37","12.69","12.16","2.06","3.14",".09","-3.08",".81",".29","NSDQ","12","Medical","Medical - Biomedical and Genetics","-4.93","5.83","2.93","20180426","20171201","2.89",".44",".32",".37","57.52899","121155.3"
"ANTERO MIDSTR","AMGP",".11",".13","4","4",".14","4",".21",".54",".89","","28.93","17.58","","1.91",".03","","-.22","0","NYSE","12","Oils-Energy","Oil and Gas - Production Pipeline - MLB","-62.5","-66.67","","20180508","20171201",".03","0","0","0","0","2919.46"
"American Homes 4 Rent","AMH",".27",".28","6","5",".29","5","1.02","1.13","1.27","19.14","17.49","15.5","1.28","1.01",".08","20.35","-4.86","-3.37","NYSE","12","Finance","REIT and Equity Trust - Residential","0","0","0","20180503","20171201",".26","-3.9","-2.46","-3.87","28.70199","5652.02"
"A P MOLLAR-MRSK","AMKBY","","","","","","",".3",".45",".95","190.63","16.94","8.03","","0","-.04","","0","0","OTC","12","Transportation","Transportation - Shipping","","","","20180510","20171201","0","","","","","15342.24"
"Amkor Technology, Inc.","AMKR",".05",".14","1","1",".31","1",".51",".78",".95","16.7","12.21","10.02","","0",".06","","0","0","NSDQ","12","Computer and Technology","Electronics - Semiconductors","26.32","21.05","10.33","20180426","20171201",".24","0","0","0","42.32099","2280.01"
"AMN Healthcare Services Inc","AMN",".79",".8","4","4",".8","4","2.57","3.24","3.55","22.7","17.9","16.37","","0",".07","","0","0","NYSE","12","Medical","Medical Services","0","5","4.99","20180503","20171201",".63","0","0","0","36.248","2768.93"
"Ameriprise Financial, Inc.","AMP","3.5","3.61","3","3","3.62","3","12.1","14.43","15.79","11.5","9.79","8.95","","2.35",".12","","0","0","NYSE","12","Finance","Financial - Investment Management","5.5","23.43","10.73","20180423","20171201","3.26","0","0","0","45.949","20678.17"
"Silver Run Acquisition Corporation II","AMR",".06",".07","2","1",".11","1","",".37",".97","","19","7.25","","0","","","-29.71","-48.61","NSDQ","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","","","","20180402","20170901","0","-50","-41.67","-47.62","0","2690.89"
"AMERISAFE, Inc.","AMSF",".73",".72","2","2",".75","2","3.22","3.22","3.17","17.07","16.4","16.66","","1.67",".12","","0","0","NSDQ","12","Finance","Insurance - Accident and Health","-16.87","12.99","-2.78","20180425","20171201",".69","0","0","0","0","1015.23"
"American Tower Corporation (REIT)","AMT","1.64","1.74","8","5","1.82","5","6.77","7.09","8.01","21.6","20.05","17.75","1.6","1.97",".19","0","0","-.07","NYSE","12","Finance","REIT and Equity Trust - Other","-5.36","3.59",".96","20180501","20171201","1.59","0","0","0","73.997","62671.38"
"TD Ameritrade Holding Corporation","AMTD",".69",".76","8","7",".82","7","1.71","3.07","3.75","27.03","18.76","15.34",".94","1.46",".24","0",".33",".25","NSDQ","9","Finance","Financial - Investment Bank","56.86","6.52","17.07","20180424","20171201",".8","1.1",".19","0","26.121","32663.43"
"American Woodmark Corporation","AMWD",".88","1.28","1","1","1.55","1","4.28","4.7","6.46","22.33","21.04","15.31","","0",".07","","-20.74","-8.91","NSDQ","4","Consumer Discretionary","Furniture","-4.55","-.81","-.65","20180529","20180101",".84","0","-23.81","-25.48","61.04199","1731.05"
"America Movil, S.A.B. de C.V.","AMX",".5",".5","1","1","","",".92",".97","1.29","29.91","19.97","15.03","1.27",".88",".04","-71.85","-8.92","-10.98","NYSE","12","Computer and Technology","Wireless Non-US ","-214.29","","","20180425","20171201","-.16","0","","","71.257","64223.58"
"Amazon.com, Inc.","AMZN","1.19","1.45","14","14","1.21","14","4.25","8.49","15.45","308.16","165.47","90.94","6.17","0",".02",".17",".03","0","NSDQ","12","Retail-Wholesale","Internet - Commerce","16.76","5100","1272.26","20180426","20171201","2.16","0","-.29","-5.01","47.173","680281.69"
"AutoNation, Inc.","AN","1.01","1.19","15","15","1.35","15","3.75","4.91","5.25","11.82","9.47","8.85","1.11","0",".02","0","1.29","2.48","NYSE","12","Retail-Wholesale","Automotive - Retail and Whole Sales","10.87","28.57","8.45","20180424","20171201","1.02","-.26","1.02",".95","45.263","4267.11"
"AnaptysBio, Inc.","ANAB","-.44","-.51","4","4","-.58","4","-1.69","-2.3","-3.39","","","","","0","-3.01","","0","0","NSDQ","12","Medical","Medical - Biomedical and Genetics","26.83","2.17","-25.14","20180510","20171201","-.3","0","0","0","2.3958","2035.99"
