Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"VAREX IMAGING","VREX","0","1.75","1.87","2.18","23.14","20.59","17.62","2.06","0",".07","0","0","NSDQ","Medical","9","Medical - Products","-42.5","13.46","-11.3","","52.86899","1450.29"
"Varonis Systems, Inc.","VRNS","0",".17",".01",".21","279.29","9775","279.29","488.75","0","-.06","-65.29","-97.86","NSDQ","Computer and Technology","12","Security","24.14","700","216.76","20180503","0","1651.47"
"Verint Systems Inc.","VRNT","0","2.76","3.03","3.03","15.28","13.42","13.4","1.34","0","","0","0","NSDQ","Computer and Technology","1","Computer - Software","15.79","29.79","20.67","20180327","41.645","2592.71"
"Verisk Analytics, Inc.","VRSK","0","3.18","3.97","4.4","32.67","26.39","23.81","2.41","0",".26","12.44","11.38","NSDQ","Business Services","12","Business - Information Services","3.85","7.69","3.22","20180501","54.26399","17304.06"
"VeriSign, Inc.","VRSN","","3.97","4.43","5.01","30.29","27.14","23.98","","0",".39","6.03","2.94","NSDQ","Computer and Technology","12","Internet - Software and Services","-1.03","2.04","2.3","20180426","","11677.77"
"Virtusa Corporation","VRTU","0","1.28","1.62","2.15","33.65","31.08","23.45","1.55","0",".01","6.05","1.16","NSDQ","Computer and Technology","3","Computer - Services","4.44","-2.78","-2.18","20180515","15.97999","1485.61"
"Vertex Pharmaceuticals Incorporated","VRTX","0","1.91","2.92","4.43","91.3","60.58","40.02","1.44","0",".11","1.63",".86","NSDQ","Medical","12","Medical - Biomedical and Genetics","5.17","43.24","25.31","20180426",".9933","44971.89"
"Valeant Pharmaceuticals International, Inc.","VRX","0","3.83","3.12","3.45","2.69","5.07","4.58",".53","0",".28","-9.64","-6.94","NYSE","Medical","12","Medical - Drugs","-1.01","15.56","53.62","20180508","80.93599","5508.15"
"ViaSat, Inc.","VSAT","0","1.09","-.18",".51","184.05","","148.93","","0",".02","-9.52","-50","NSDQ","Computer and Technology","3","Wireless Equipment","0","250","50.75","20180522","27.343","4443.51"
"Vishay Intertechnology, Inc.","VSH","0","1.44","1.57","1.72","14.09","12.83","11.72","2.62","1.34","-.01","0","0","NYSE","Computer and Technology","12","Semiconductor - Discretes","-5.13","10.53","8.26","20180502","30.32799","2903.7"
"Versum Materials Inc.","VSM","0","1.91","2.21","2.43","20.27","18.06","16.4","1.64",".5",".17","0","0","NYSE","Basic Materials","9","Chemical - Specialty","8","-2.08","6.03","20180501","94.24199","4350.85"
"Vistra Energy Corp.","VST","",".77",".89","1.01","21.31","22.99","20.26","","0","-.05","26.25","27.14","NYSE","Utilities","12","Utility - Electric Power","333.33","100","514.58","20180517","40.845","8766.04"
"Vanguard Total Stock Market ETF","VTI","","","","","","","","","1.64","","","","NYSE","Finance","12","Financial - Investment Funds","","","","","","96972.21"
"Ventas, Inc.","VTR","7.71","4.15","4.06","4.18","12.08","12.42","12.06","3.25","6.27",".38","-3.2","-2.26","NYSE","Finance","12","REIT and Equity Trust - Other","0","0",".73","20180427","50.77399","17944.65"
"Victrex PLC","VTXPF","0","1.5","1.77","1.79","","20.42","20.2","2.72","0","","0","0","OTC","Basic Materials","9","Chemical - Plastic","","","","","","3109.5"
"Vectren Corporation","VVC","5.56","2.62","2.87","3.05","23.31","21.2","19.93","3.35","2.96",".08","","1.59","NYSE","Utilities","12","Utility - Gas Distribution","-1.33","11.94","4.59","20180514","48.45899","5053"
"Viad Corp","VVI","","2.59","2.73","3.05","20.84","20","17.9","",".73",".04","0","0","NYSE","Business Services","12","Business - Services","13.33",".76","33.82","20180426","12.49199","1115.08"
"Valvoline Inc.","VVV",".81","1.39","1.35","1.52","18.04","17.79","15.83","1.42","1.24",".15",".66","1.51","NYSE","Basic Materials","9","Chemical - Specialty","0","-2.94","-.02","20180424","","4799.58"
"Vestas Wind Systems AS","VWDRY","","","","","14.76","","","","1.21",".09","","","OTC","Oils-Energy","12","Alternative Energy - Other","","","","20180504","13.555","15362.1"
"Vanguard FTSE Emerging Markets ETF","VWO","","","","","","","","","2.18","","","","NYSE","Finance","12","Financial - Investment Funds","","","","","","71601.02"
"Verizon Communications Inc.","VZ","0","3.77","4.52","4.66","13.01","10.79","10.48","1.99","4.84",".24",".37",".62","NYSE","Computer and Technology","12","Wireless National","-2.27","0","-1.33","20180419","71.776","201444.64"
"Wayfair Inc.","W","50.41","-1.91","-2.29","-1.5","","","","","0","-.05","-461.81","-75.18","NYSE","Retail-Wholesale","12","Internet - Commerce","-13.73","-47.73","-.92","20180508","99.26999","7497.6"
"Westinghouse Air Brake Technologies Corporation","WAB","0","3.42","3.84","4.39","24.24","21.6","18.88","1.88",".58",".07","-4.17","-4.41","NYSE","Transportation","12","Transportation - Equipment and Leasing","0","4.76","-2.23","20180424","39.19499","7964.94"
"Westamerica Bancorporation","WABC","","","","","25.99","","","","2.65",".26","","","NSDQ","Finance","12","Banks - West","","","","20180419","0","1602.02"
"Wacoal Holdings Corp.","WACLY","","","","","16.3","","","","0","","","","OTC","Consumer Discretionary","3","Textile - Apparel","","","","20180313","","1986.11"
"Washington Federal, Inc.","WAFD","0","1.9","2.44","2.79","17.42","14.8","12.94","1.48","1.89",".29","0","0","NSDQ","Finance","9","Banks - Northeast","15.69","8.33","7.63","20180412","54.581","3099.35"
"WageWorks, Inc.","WAGE","0","1.78","2.11","2.55","28.35","23.25","19.27","1.55","0","","12.61","7.43","NYSE","Business Services","12","Business - Services","9.76","6.98","7.28","20180315","28.95299","1944.17"
"Western Alliance Bancorporation","WAL","0","3.07","4.01","4.57","19.97","15.42","13.54","1.19","0",".37","0","0","NYSE","Finance","12","Banks - West","3.66","1.28","2.63","20180419","25.59199","6540.79"
"Waters Corporation","WAT","0","7.42","8.16","8.96","28.38","26.08","23.76","2.55","0",".01","0","0","NYSE","Computer and Technology","12","Instruments - Scientific","2.87","1.72","4.17","20180424","45.93","16770.85"
"WS Atkins PLC","WATKF","","1.47","","","","","","","0","","","","OTC","Business Services","3","Consulting Services","","","","","","2619.91"
"Weibo Corporation","WB","","1.74","2.88","4.32","73.01","45.38","30.25","","0",".31",".23","-1.2","NSDQ","Computer and Technology","12","Internet - Content","10.34","10.87","12.64","20180515","42.41299","28908.63"
"Walgreens Boots Alliance, Inc.","WBA",".02","5.01","5.79","6.43","13.29","12.12","10.91","1.16","2.28",".03",".74",".54","NSDQ","Retail-Wholesale","8","Retail - Pharmacies and Drug Stores",".79","7.38","2.42","20180328","32.25099","69495.43"
"Wabco Holdings Inc.","WBC","0","6.67","7.6","8.31","20.42","18.45","16.89","1.23","0",".12","-1.22",".24","NYSE","Auto-Tires-Trucks","12","Automotive - Original Equipment","11.11","11.76","8.67","20180420","46.00299","7540.16"
"Westpac Banking Corporation","WBK","-5.87","1.92","1.92","1.96","","12.33","12.08","3.84","6.03",".21","-3.45","-3.52","NYSE","Finance","9","Banks - Foreign","","","","","73.29499","79203.77"
"Webster Financial Corporation","WBS","0","2.61","3.37","3.68","22.39","17.14","15.68","2.14","1.8",".22",".21","0","NYSE","Finance","12","Banks - Northeast","-2.99","4.69","4.29","20180420","41.323","5321.25"
"Manitowoc Food Service, Inc.","WBT","0",".78",".88","1.07","25.49","22.94","18.82","2.29","0",".09","-5.31","-6.99","NYSE","Industrial Products","12","Manufacturing - General Industrial ","4","-4.17",".51","20180514","91.777","2815.61"
"WESCO International, Inc.","WCC","0","3.88","4.67","5.29","16.21","13.64","12.05","1.36","0",".02",".08",".91","NYSE","Computer and Technology","12","Electronics - Parts Distribution","5.1","8.74","5.87","20180426","38.29399","2997.47"
"WellCare Health Plans, Inc.","WCG","0","8.42","9.81","11.22","22.71","19.74","17.27","1.24","0",".02",".89",".86","NYSE","Medical","12","Medical - HMOs","52.38","114.74","53.85","20180502","32.853","8626.19"
"Waste Connections, Inc.","WCN","36.29","2.13","2.52","2.84","30.61","29.23","25.98","2.71",".76",".12","3.84","4.79","NYSE","Business Services","12","Waste Removal Services","6.12","3.45","5.15","20180425","38.52","19453.25"
"Walker & Dunlop, Inc.","WD","","4.49","4.32","4.76","10.95","12.04","10.93","","1.92",".3","0","0","NYSE","Finance","12","Financial - Mortgage & Related Services","26","12.77","44.86","20180502","57.478","1601.9"
"Workday, Inc.","WDAY","-14.96",".98","1.2","1.63","132.45","115.99","85.15","3.9","0","-.15","5.48","1.7","NSDQ","Computer and Technology","1","Internet - Software","33.33","60","58.65","20180607","42.458","29204.7"
"Western Digital Corporation","WDC","0","9.03","13.97","12.27","8.02","7.36","8.38",".39","1.94",".02","3.79","1.1","NSDQ","Computer and Technology","6","Computer- Storage Devices","3.67","7.88","6.43","20180426","51.095","30607.05"
"WD-40 Company","WDFC","0","3.67","3.93","4.2","34.68","33.49","31.34","3.35","1.64",".14","0","0","NSDQ","Consumer Staples","8","Consumer Products - Staples","8.43","4.12","5.33","20180405","51.31499","1841.8"
"Waddell & Reed Financial, Inc.","WDR","","1.58","2.11","2.07","11.74","9.52","9.68","","4.98",".12","2.98","1.64","NYSE","Finance","12","Financial - Investment Management","6.67","12.5","4.36","20180501","9.79479","1673.07"
"WEC Energy Group, Inc.","WEC","0","3.11","3.3","3.49","19.39","18.47","17.43","4.37","3.63",".16","-.01",".01","NYSE","Utilities","12","Utility - Electric Power","5.97","1.49","4.97","20180501","47.957","19213.51"
"WEIR GROUP PLC","WEGRY","",".61",".78",".91","","18.05","15.47","","1.81",".07","","-1.27","OTC","Construction","12","Engineering - R and D Services","","","","20180523","","6313.98"
"Weichai Power Co.","WEICY","","","","","","","","","2.25","","","","OTC","Auto-Tires-Trucks","12","Automotive - Internal Combustion Engines","","","","","","9026.88"
"Welltower Inc.","WELL","71.98","4.24","4.06","4.19","13","13.49","13.07","2.31","6.36",".12","-2.56","-3.94","NYSE","Finance","12","REIT and Equity Trust - Other","-1.92","2.86",".47","20180504","44.78699","20341.47"
"Wendy's Company (The)","WEN","11.13",".44",".55",".68","39.43","31.42","25.68","1.88","1.96",".16","-10.82","-7.38","NSDQ","Retail-Wholesale","12","Retail - Restaurants","-8.33","-25","-1.36","20180509","82.61699","4153.84"
"Werner Enterprises, Inc.","WERN","0","1.24","1.97","2.28","30.67","19.76","17.1","1.36",".72",".1",".33",".18","NSDQ","Transportation","12","Transportation - Truck","7.69","-3.12","8.1","20180419","5.9534","2822.02"
"Western Gas Partners, LP","WES","0","1.44","2.18","2.9","37.17","21.64","16.29","3.61","7.8",".25","1.34","-3.59","NYSE","Oils-Energy","12","Oil and Gas - Production and Pipelines","-17.02","-15.56","-34.55","20180501","46.595","7204.35"
"WisdomTree Investments, Inc.","WETF","0",".25",".42",".5","41.29","23.68","19.62","1.58","1.21",".11","-8.18","-2.66","NSDQ","Finance","12","Financial - Investment Bank","-42.86","0","2.68","20180427","0","1364.92"
"WEX Inc.","WEX","0","5.37","7.57","8.71","29.49","21.09","18.32","1.47","0",".13","6.58","7.83","NYSE","Business Services","12","Financial Transaction Services","2.05","2.14","1.45","20180426","16.57799","6864.46"
"Woori Bank","WF","0","6.52","6.44","6.7","9.03","7.14","6.86","1.19","0",".15","0","0","NYSE","Finance","12","Financial - Investment Management","","","","20180319","41.824","10358.57"
"Wells Fargo & Company","WFC","0","3.98","4.72","5.26","14.22","12.3","11.04","1.52","2.69",".23","-.04","0","NYSE","Finance","12","Banks - Major Regional","-6.73","0",".31","20180412","51.956","283007.28"
"Westfield Group","WFGPY","","","","","","","","","3.44","","","","OTC","Finance","12","Real Estate - Development","","","","20180315","","13964.76"
"Weatherford International PLC","WFT","","-1.02","-.62","-.15","","","","","0","-.49","-2.65","-.7","NYSE","Oils-Energy","12","Oil and Gas - Mechanical and and Equitment","-57.14","8.33","-13.01","20180427","84.47399","2652.95"
"WGL Holdings Inc","WGL","0","3.15","3.82","4.03","21.94","21.86","20.67","3.64","2.45",".08","-1.63","1.6","NYSE","Utilities","9","Utility - Gas Distribution","46.03","10.53","20.61","20180503","50.58599","4282.84"
"Winnebago Industries, Inc.","WGO","","2.23","3.12","3.69","15.15","14.12","11.95","",".91",".05","-.07","2.49","NYSE","Construction","8","Building Products - Mobile Homes and RV Builders","14","30.56","22.3","20180321","37.02099","1396.04"
"Western Gas Equity Partners, LP","WGP","","1.7","2.08","2.29","20.99","17.36","15.77","","6.08",".17","9.39",".81","NYSE","Oils-Energy","12","Oil and Gas - Refining and Marketing - Master Limited Partnerships","2.27","18.92","7","20180501","46.95999","7905.67"
"CACTUS INC-A","WHD","","1","1.4","1.75","","19.18","15.34","","0","","","","NYSE","Oils-Energy","12","Oil and Gas - Integrated - United States","","","","20180308","","2010.77"
"Whirlpool Corporation","WHR","-1.15","13.64","15.31","17.58","11.85","10.66","9.29",".88","2.69",".02",".42","-.07","NYSE","Consumer Discretionary","12","Household Appliances","2.24","-1.79","-3.22","20180423","46.13399","11544.08"
"Boingo Wireless, Inc.","WIFI","","-.57","-.41","-.22","","","","","0","-.09","-15.18","2.59","NSDQ","Computer and Technology","12","Internet - Software and Services","81.82","30.77","27.31","20180503","8.30959","1128.85"
"William Demant Holdings","WILYY","0",".57",".62",".66","","30.08","28.26","4.07","0","","0","0","OTC","Medical","12","Medical - Products","","","","20180315","21.28599","9924.86"
"WILLIAM HIL ADR","WIMHY","","1.41","1.44","1.55","","12.95","12.03","","3.11","",".65","-.69","OTC","Consumer Discretionary","12","Gaming","","","","20180316","36.75999","4004.55"
"Wingstop Inc.","WING","0",".73",".78",".94","65.04","61.36","51.28","3.15",".44",".26","-7.53","-3.81","NSDQ","Retail-Wholesale","12","Retail - Restaurants","6.25","13.33","21.56","20180503","","1401.16"
"Wins Finance Holdings Inc.","WINS","","","","","","","","","0","2.09","","","NSDQ","Finance","6","Financial - Miscellaneous Services","","","","","0","2777.27"
"Encore Wire Corporation","WIRE","0","2.32","2.97","3.25","21.86","19.14","17.49","1.91",".14",".06","30","40.76","NSDQ","Industrial Products","12","Wire and Cable Products","61.7","139.29","54.52","20180501","0","1184.51"
"Wipro Limited","WIT","0",".26",".27",".29","16.97","21.64","20.13","2.7",".54",".15","0","0","NYSE","Computer and Technology","3","Business - Software Services","0","16.67","10.26","20180424","5.919","25960.15"
"Wix.com Ltd.","WIX","","0",".63","1.38","","132.18","60.09","","0","-.13","23.99","40.32","NSDQ","Computer and Technology","12","Computers - IT Services","0","-92.31","-63.99","20180509","9.6568","3779.71"
"WEST JAPAN RAIL","WJRYY","","","","","12.18","","","",".79",".06","","","OTC","Transportation","3","Transportation - Rail","","","","20180319","31.68199","13497.52"
"Workiva Inc.","WK","","-.63","-.79","-.51","","","","","0","-.21","-87.41","-69.42","NYSE","Computer and Technology","12","Internet - Software","13.64","20.69","34.42","20180503","","1000.33"
"Lyon William Homes","WLH","","2.17","3.05","3.6","12.17","8.78","7.44","","0",".03","7.62","10.51","NYSE","Construction","12","Building Products - Home Builders","5.95","5.97","","20180508","54.484","1046.28"
"Westlake Chemical Corporation","WLK","4.94","5.58","8.07","8.25","20.57","14.63","14.32","1.2",".71",".16","3.17","7.91","NYSE","Basic Materials","12","Chemical - Plastic","-4.14","18.71","18.44","20180501","36.80599","15281.89"
"Whiting Petroleum Corporation","WLL","-31.16","-2.23",".46",".35","","66.87","86.23","4.58","0","-.84","133.2","160.82","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","46.88","30","28.49","20180425","41.36399","2780.55"
"Wilmar International Ltd.","WLMIY","","","","","14.51","","","","1.81",".03","","","OTC","Basic Materials","12","Agriculture - Products","","","","20180510","16.236","15605.84"
"Willis Towers Watson Public Limited Company","WLTW","0","8.4","9.86","10.86","19.19","16.53","15","1.62","1.3",".07",".09","0","NSDQ","Finance","12","Insurance - Brokerage","4.74","-.88","3.31","20180503","30.40699","21545.95"
"Waste Management, Inc.","WM","13.8","3.2","4.04","4.41","26.92","21.47","19.64","1.96","2.15",".13","5.68","7.88","NYSE","Business Services","12","Waste Removal Services","2.41","2.27",".87","20180425","59.159","37586.52"
"Williams Companies, Inc. (The)","WMB","",".77",".79",".91","45.58","35.68","31.06","","4.81",".27","-13.33","-13.73","NYSE","Oils-Energy","12","Oil and Gas - Production and Pipelines","0","-21.05","-29.83","20180502","55.817","23380.27"
"Wright Medical Group N.V.","WMGI","0","-.27","-.18",".16","","","129.92","","0","-.27","-55.39","-1578.95","NSDQ","Medical","12","Medical - Instruments","150","0","39.93","20180502","58.685","2219.8"
"Weis Markets, Inc.","WMK","","","","","13.91","","","","3.07","","","","NYSE","Retail-Wholesale","12","Retail - Supermarkets","","","","20180315","5.26329","1051.44"
"Wal-Mart de Mexico SAB de CV","WMMVY","0",".91",".98","","34.73","25.87","","6.65",".83","","","0","OTC","Retail-Wholesale","12","Retail - Supermarkets","","","","20180314","0","44264.65"
"Advanced Drainage Systems, Inc.","WMS","",".82",".87","1.11","44.1","30.92","24.34","","1.04",".03","-.9","17.57","NYSE","Construction","3","Building Products - Miscellaneous","27.27","-22.22","-91.1","20180524","43.957","1513.44"
"Wal-Mart Stores, Inc.","WMT",".84","4.44","4.95","5.22","19.97","17.77","16.89","3.09","2.36",".02","-2.61",".92","NYSE","Retail-Wholesale","1","Retail - Supermarkets","-2.21","3.09","1.5","20180517","31.301","260896.98"
